time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:44:17:266,1,2,386,2837,2688,2745,10868,2837
18:44:17:454,1,2,386,2832,2683,2743,10878,2832
18:44:17:578,1,2,386,2839,2687,2746,10879,2839
18:44:17:765,1,2,387,2838,2688,2752,10888,2838
18:44:17:891,1,2,387,2835,2685,2740,10896,2835
18:44:18:080,1,2,387,2833,2690,2741,10903,2833
18:44:18:203,1,2,388,2835,2690,2741,10909,2835
18:44:18:360,1,2,388,2830,2689,2739,10915,2830
18:44:18:487,1,2,388,2829,2690,2740,10925,2829
18:44:18:672,1,2,389,2841,2685,2745,10933,2841
18:44:18:797,1,2,389,2842,2685,2750,10937,2842
18:44:18:985,1,2,389,2833,2687,2749,10945,2833
18:44:19:108,1,2,390,2836,2689,2745,10951,2836
18:44:19:266,1,2,390,2838,2689,2744,10961,2838
18:44:19:391,1,2,390,2833,2682,2745,10963,2833
18:44:19:578,1,2,391,2840,2684,2745,10977,2840
18:44:19:703,1,2,391,2838,2688,2741,10986,2838
18:44:19:860,1,2,391,2840,2687,2743,10991,2840
18:44:19:985,1,2,391,2835,2681,2747,10992,2835
18:44:20:170,1,2,392,2832,2682,2741,11008,2832
18:44:20:292,1,2,392,2838,2690,2744,11011,2838
18:44:20:483,1,2,393,2832,2688,2752,11020,2832
18:44:20:607,1,2,393,2834,2682,2740,11017,2834
18:44:20:763,1,2,393,2832,2689,2744,11029,2832
18:44:20:888,1,2,394,2830,2687,2741,11039,2830
18:44:21:076,1,2,394,2841,2688,2745,11048,2841
18:44:21:201,1,2,394,2833,2688,2753,11047,2833
18:44:21:328,1,2,395,2837,2687,2744,11059,2837
18:44:21:468,1,2,395,2836,2691,2747,11060,2836
18:44:21:671,1,2,395,2837,2686,2744,11068,2837
18:44:21:796,1,2,395,2836,2687,2750,11076,2836
18:44:21:980,1,2,396,2829,2690,2746,11081,2829
18:44:22:106,1,2,396,2836,2686,2744,11092,2836
18:44:22:262,1,2,396,2838,2691,2749,11092,2838
18:44:22:389,1,2,396,2836,2689,2742,11095,2836
18:44:22:574,1,2,397,2830,2687,2751,11102,2830
18:44:22:701,1,1,397,2832,2693,2734,11107,2832
18:44:22:829,1,2,397,2840,2688,2746,11111,2840
18:44:22:967,1,2,397,2834,2696,2748,11114,2834
18:44:23:168,1,2,397,2838,2685,2750,11119,2838
18:44:23:291,1,2,397,2830,2691,2738,11118,2830
18:44:23:479,1,2,398,2833,2689,2741,11126,2833
18:44:23:605,1,2,398,2830,2682,2749,11126,2830
18:44:23:735,1,2,398,2839,2690,2740,11128,2839
18:44:23:871,1,2,398,2841,2689,2743,11133,2841
18:44:24:058,1,2,398,2839,2680,2748,11136,2839
18:44:24:185,1,2,398,2843,2687,2746,11140,2843
18:44:24:374,1,2,399,2833,2687,2742,11148,2833
18:44:24:500,1,2,399,2842,2689,2743,11150,2842
18:44:24:625,1,2,399,2836,2687,2751,11148,2836
18:44:24:763,1,2,399,2834,2687,2746,11155,2834
18:44:24:968,1,2,399,2838,2680,2753,11159,2838
18:44:25:092,1,2,400,2834,2686,2745,11165,2834
18:44:25:279,1,2,400,2837,2689,2740,11171,2837
18:44:25:404,1,2,400,2843,2689,2745,11174,2843
18:44:25:528,1,2,400,2835,2681,2746,11175,2835
18:44:25:668,1,2,400,2837,2685,2743,11181,2837
18:44:25:869,1,2,401,2832,2690,2749,11189,2832
18:44:25:994,1,2,401,2838,2687,2742,11188,2838
18:44:26:183,1,2,401,2839,2688,2746,11192,2839
18:44:26:307,1,2,401,2832,2683,2747,11199,2832
18:44:26:464,1,2,401,2836,2684,2741,11201,2836
18:44:26:586,1,2,401,2844,2693,2742,11204,2844
18:44:26:776,1,2,401,2836,2685,2740,11203,2836
18:44:26:901,1,2,401,2832,2680,2742,11200,2832
18:44:27:028,1,2,402,2836,2685,2747,11209,2836
18:44:27:165,1,2,402,2838,2690,2745,11220,2838
18:44:27:368,1,2,402,2838,2690,2745,11218,2838
18:44:27:493,1,2,403,2841,2687,2748,11229,2841
18:44:27:684,1,2,403,2840,2690,2746,11230,2840
18:44:27:807,1,2,403,2841,2682,2743,11229,2841
18:44:27:936,1,2,403,2832,2685,2747,11242,2832
18:44:28:074,1,2,403,2839,2682,2742,11240,2839
18:44:28:261,1,2,403,2836,2687,2745,11245,2836
18:44:28:384,1,2,404,2841,2686,2743,11249,2841
18:44:28:569,1,2,404,2837,2690,2746,11248,2837
18:44:28:695,1,2,404,2830,2694,2743,11254,2830
18:44:28:881,1,2,404,2832,2686,2743,11254,2832
18:44:29:005,1,2,404,2838,2688,2745,11261,2838
18:44:29:133,1,2,404,2840,2689,2747,11267,2840
18:44:29:271,1,2,404,2840,2683,2745,11265,2840
18:44:29:474,1,2,405,2835,2689,2743,11276,2835
18:44:29:600,1,2,405,2835,2684,2747,11279,2835
18:44:29:727,1,2,405,2836,2683,2742,11281,2836
18:44:29:866,1,2,406,2835,2679,2746,11291,2835
18:44:30:069,1,2,405,2839,2689,2746,11284,2839
18:44:30:194,1,2,406,2836,2683,2750,11291,2836
18:44:30:320,1,2,406,2833,2686,2743,11297,2833
18:44:30:474,1,2,406,2844,2688,2742,11299,2844
18:44:30:676,1,2,406,2840,2687,2749,11297,2840
18:44:30:800,1,2,406,2837,2687,2749,11300,2837
18:44:30:929,1,2,406,2836,2685,2744,11302,2836
18:44:31:067,1,2,407,2839,2685,2747,11312,2839
18:44:31:267,1,2,407,2832,2686,2743,11314,2832
18:44:31:391,1,2,407,2839,2694,2747,11312,2839
18:44:31:579,1,2,407,2832,2690,2746,11320,2832
18:44:31:703,1,2,407,2839,2683,2743,11321,2839
18:44:31:830,1,2,407,2834,2686,2746,11321,2834
18:44:31:968,1,2,407,2838,2682,2749,11327,2838
18:44:32:172,1,2,407,2836,2686,2745,11324,2836
18:44:32:296,1,2,408,2838,2686,2747,11339,2838
18:44:32:422,1,2,408,2830,2684,2750,11334,2830
18:44:32:575,1,2,408,2830,2686,2745,11338,2830
18:44:32:778,1,2,408,2838,2685,2744,11337,2838
18:44:32:902,1,2,408,2838,2684,2747,11350,2838
18:44:33:028,1,2,408,2836,2682,2746,11353,2836
18:44:33:167,1,2,408,2836,2682,2748,11352,2836
18:44:33:369,1,2,409,2834,2689,2740,11355,2834
18:44:33:494,1,2,409,2837,2689,2746,11357,2837
18:44:33:622,1,2,409,2838,2687,2744,11361,2838
18:44:33:779,1,2,409,2839,2687,2747,11368,2839
18:44:33:966,1,2,409,2835,2686,2740,11363,2835
18:44:34:090,1,2,410,2835,2683,2746,11376,2835
18:44:34:279,1,2,410,2838,2680,2741,11379,2838
18:44:34:405,1,2,409,2834,2684,2742,11374,2834
18:44:34:530,1,2,410,2835,2690,2745,11379,2835
18:44:34:669,1,2,410,2841,2685,2749,11379,2841
18:44:34:874,1,2,410,2839,2687,2744,11393,2839
18:44:34:999,1,2,410,2838,2689,2745,11393,2838
18:44:35:125,1,2,410,2830,2689,2746,11391,2830
