time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:55:35:384,412,6,4,2879,11324,2825,2738,2879
18:55:35:522,411,6,4,2877,11299,2825,2739,2877
18:55:35:724,410,6,4,2878,11274,2827,2739,2878
18:55:35:850,408,6,3,2878,11249,2823,2737,2878
18:55:36:039,407,6,4,2881,11225,2824,2738,2881
18:55:36:165,406,6,4,2881,11197,2823,2744,2881
18:55:36:292,405,6,3,2880,11173,2823,2735,2880
18:55:36:430,404,6,4,2877,11149,2820,2740,2877
18:55:36:632,403,6,4,2876,11125,2821,2738,2876
18:55:36:756,401,6,4,2878,11102,2822,2740,2878
18:55:36:883,400,6,3,2879,11079,2821,2737,2879
18:55:37:038,399,6,3,2880,11052,2821,2736,2880
18:55:37:226,398,6,4,2878,11027,2822,2740,2878
18:55:37:350,397,6,3,2875,11001,2822,2733,2875
18:55:37:539,396,6,4,2880,10977,2820,2740,2880
18:55:37:663,394,6,3,2881,10952,2821,2737,2881
18:55:37:789,393,6,4,2882,10929,2822,2742,2882
18:55:37:926,392,6,4,2881,10903,2823,2738,2881
18:55:38:131,391,6,4,2880,10882,2822,2739,2880
18:55:38:255,390,5,3,2876,10853,2816,2735,2876
18:55:38:384,389,6,3,2882,10834,2820,2737,2882
18:55:38:534,388,6,3,2878,10809,2822,2736,2878
18:55:38:740,387,5,3,2881,10788,2817,2734,2881
18:55:38:865,385,6,3,2879,10763,2820,2736,2879
18:55:38:994,384,5,4,2880,10739,2819,2739,2880
18:55:39:132,383,5,3,2880,10711,2817,2736,2880
18:55:39:335,382,6,4,2878,10691,2821,2739,2878
18:55:39:459,381,6,4,2880,10670,2821,2738,2880
18:55:39:586,380,5,3,2882,10644,2817,2735,2882
18:55:39:724,379,5,3,2881,10621,2816,2736,2881
18:55:39:927,377,5,3,2880,10597,2818,2736,2880
18:55:40:052,376,5,4,2879,10576,2818,2739,2879
18:55:40:238,375,5,3,2883,10555,2817,2735,2883
18:55:40:361,374,5,4,2879,10528,2817,2739,2879
18:55:40:488,373,5,3,2878,10507,2813,2736,2878
18:55:40:626,372,5,3,2883,10483,2813,2733,2883
18:55:40:827,371,5,4,2884,10463,2819,2739,2884
18:55:40:952,370,5,4,2886,10440,2813,2738,2886
18:55:41:083,369,5,3,2883,10415,2817,2737,2883
18:55:41:237,368,5,3,2880,10390,2816,2732,2880
18:55:41:440,367,5,3,2883,10370,2812,2732,2883
18:55:41:565,366,5,3,2881,10346,2816,2737,2881
18:55:41:692,365,5,3,2882,10325,2815,2736,2882
18:55:41:831,364,5,3,2882,10304,2816,2736,2882
18:55:42:036,362,5,3,2876,10282,2818,2737,2876
18:55:42:160,361,5,3,2884,10259,2813,2735,2884
18:55:42:286,360,5,3,2882,10233,2812,2736,2882
18:55:42:424,359,5,3,2880,10210,2809,2731,2880
18:55:42:625,358,5,3,2882,10192,2813,2732,2882
18:55:42:750,357,5,3,2884,10169,2815,2733,2884
18:55:42:935,356,5,3,2881,10144,2814,2733,2881
18:55:43:064,355,5,3,2877,10123,2815,2733,2877
18:55:43:189,354,5,3,2882,10104,2811,2733,2882
18:55:43:341,353,5,3,2886,10081,2812,2733,2886
18:55:43:528,352,5,3,2883,10054,2813,2732,2883
18:55:43:652,351,5,3,2884,10039,2813,2730,2884
18:55:43:841,350,5,3,2878,10016,2808,2733,2878
18:55:43:964,349,5,3,2880,9999,2810,2734,2880
18:55:44:092,348,5,3,2880,9973,2814,2732,2880
18:55:44:231,347,5,3,2884,9952,2807,2732,2884
18:55:44:434,346,5,3,2882,9933,2810,2733,2882
18:55:44:558,345,5,3,2885,9909,2808,2733,2885
18:55:44:685,344,5,3,2881,9886,2808,2736,2881
18:55:44:839,343,5,3,2886,9866,2809,2733,2886
18:55:45:026,342,5,3,2882,9845,2809,2733,2882
18:55:45:152,341,5,3,2884,9826,2803,2732,2884
